FID,Trans_Type,Purchase_T,City,SIG,EMD,Street_No,Main_No,Sub_No,Complex_Na,Lease_L__R,Road_Type,Area_㎡_,Land_Area_,Floor,Contract_Y,Contract_M,Contract_D,Price_1000,Deposit_10,Rent_10000,Constructe,Street_Add,Compiled_A,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호
446,연립다세대,매매,부산광역시,금정구,부곡동,541-1,0541,0001,대성빌라, , ,79.56,46.98,3,2010,7,6,10450, , ,2003,동부곡로 32-6,부산광역시 금정구 부곡동 동부곡로 32-6,부산광역시 금정구 부곡동 동부곡로 32-6,390697,193777,정좌표,2641010900105410001,새주소,부산광역시 금정구 동부곡로 32-6,부산광역시 금정구 부곡동 541-1,46303
502,연립다세대,매매,부산광역시,금정구,부곡동,545,0545,0000,신아빌라, , ,39.58,20.68,4,2010,10,9,5500, , ,1997,동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,390651,193751,정좌표,2641010900105450000,새주소,부산광역시 금정구 동부곡로42번길 49,부산광역시 금정구 부곡동 545,46303
503,연립다세대,매매,부산광역시,금정구,부곡동,545,0545,0000,신아빌라, , ,78.4,40.97,3,2010,11,22,11400, , ,1997,동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,390651,193751,정좌표,2641010900105450000,새주소,부산광역시 금정구 동부곡로42번길 49,부산광역시 금정구 부곡동 545,46303
526,연립다세대,매매,부산광역시,금정구,부곡동,670-6,0670,0006,은아빌라, , ,50.42,33.1,4,2010,8,24,6000, , ,1991,동부곡로27번다길 23-2,부산광역시 금정구 부곡동 동부곡로27번다길 23-2,부산광역시 금정구 부곡동 동부곡로27번다길 23-2,390854,193875,정좌표,2641010900106700006,새주소,부산광역시 금정구 동부곡로27번다길 23-2,부산광역시 금정구 부곡동 670-6,46270
532,연립다세대,매매,부산광역시,금정구,부곡동,543,0543,0000,청용아트빌, , ,84.95,50.22,3,2010,6,4,11100, , ,2002,동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,390680,193748,정좌표,2641010900105430000,새주소,부산광역시 금정구 동부곡로42번길 44,부산광역시 금정구 부곡동 543,46303
533,연립다세대,매매,부산광역시,금정구,부곡동,543,0543,0000,청용아트빌, , ,48.67,28.77,4,2010,6,11,6000, , ,2002,동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,390680,193748,정좌표,2641010900105430000,새주소,부산광역시 금정구 동부곡로42번길 44,부산광역시 금정구 부곡동 543,46303
534,연립다세대,매매,부산광역시,금정구,부곡동,382-2,0382,0002,청재빌, , ,68.81,53.58,2,2010,5,26,8500, , ,2004,동부곡로27번길 38-19,부산광역시 금정구 부곡동 동부곡로27번길 38-19,부산광역시 금정구 부곡동 동부곡로27번길 38-19,390736,194011,정좌표,2641010900103820002,새주소,부산광역시 금정구 동부곡로27번길 38-19,부산광역시 금정구 부곡동 382-2,46270
1100,연립다세대,매매,부산광역시,남구,감만동,39-57,0039,0057,감만파크빌라1동, , ,58.7,24.25,4,2010,8,23,7250, , ,2002,석포로 50-12,부산광역시 남구 감만동 석포로 50-12,부산광역시 남구 감만동 석포로 50-12,390114,182401,정좌표,2629011100100390057,새주소,부산광역시 남구 석포로 50-12,부산광역시 남구 감만동 39-57,48540
1101,연립다세대,매매,부산광역시,남구,감만동,39-57,0039,0057,감만파크빌라1동, , ,58.7,24.25,3,2010,12,13,7800, , ,2002,석포로 50-12,부산광역시 남구 감만동 석포로 50-12,부산광역시 남구 감만동 석포로 50-12,390114,182401,정좌표,2629011100100390057,새주소,부산광역시 남구 석포로 50-12,부산광역시 남구 감만동 39-57,48540
1102,연립다세대,매매,부산광역시,남구,감만동,39-45,0039,0045,감만파크빌라2동, , ,59.48,23.29,3,2010,12,15,6000, , ,2003,석포로56번길 18,부산광역시 남구 감만동 석포로56번길 18,부산광역시 남구 감만동 석포로56번길 18,390130,182399,정좌표,2629011100100390042,새주소,부산광역시 남구 석포로56번길 18,부산광역시 남구 감만동 39-42,48540
